date,area,marketId,location,sourceType,commodityKey,commodity,brand,productName,size,unit,price,priceType,stockStatus,confidence,observedAt,address,sourceUrl
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,cabai-keriting,Cabai merah keriting,Komoditas pasar,Cabai merah keriting,1 kg,kg,40000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,cabai-keriting,Cabai merah keriting,Komoditas pasar,Cabai merah keriting,1 kg,kg,32000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,cabai-rawit,Cabai rawit merah,Komoditas pasar,Cabai rawit merah,1 kg,kg,60000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,cabai-rawit,Cabai rawit merah,Komoditas pasar,Cabai rawit merah,1 kg,kg,65000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,cabai-rawit,Cabai rawit merah,Komoditas pasar,Cabai rawit merah,1 kg,kg,60000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,cabai-rawit,Cabai rawit merah,Komoditas pasar,Cabai rawit merah,1 kg,kg,60000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,gula,Gula kristal putih,Komoditas pasar,Gula kristal putih,1 kg,kg,18000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
2026-09-26,lamongan,55,Pasar Blimbing,pasar rakyat,gula,Gula kristal putih,Komoditas pasar,Gula kristal putih,1 kg,kg,18000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Blimbing, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=55
2026-09-26,lamongan,121,Pasar Mantup,pasar rakyat,gula,Gula kristal putih,Komoditas pasar,Gula kristal putih,1 kg,kg,18500,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Mantup, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=121
2026-09-26,lamongan,53,Pasar Sidoharjo,pasar rakyat,gula,Gula kristal putih,Komoditas pasar,Gula kristal putih,1 kg,kg,17000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidoharjo, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=53
2026-09-26,lamongan,54,Pasar Babat,pasar rakyat,lpg,LPG 3 kg,Komoditas pasar,LPG 3 kg,1 tabung,tabung,20000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Babat, Kabupaten Lamongan",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=lamongankab&pasar=54
